asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B08826B2XL","Frito-Lay Ultimate Classic Snacks Package, Variety Assortment of Chips, Cookies, Crackers, & Nuts, 0.56 ounces, (Pack of 40) (Packaging May Vary)","$19.75","4.6","113200","","Grocery & Gourmet Food","104","Snack Food Gifts","1","","","11","5","AMZ","$965,935.62","36,847","https://www.amazon.com/dp/B08826B2XL","https://m.media-amazon.com/images/I/91dqrCz23TL._AC_UL320_.jpg","false","false","1","2026-02-07T06:50:39.875Z"
"B0822XNNY6","Valentine's Day Gift Care Package (50ct) Snacks Chocolates Candy Box Assortment Variety Bundle Present Kids Adults Boy Girl Guy Friend College Husband Wife Boyfriend Girlfriend Love","$31.95","4.4","3100","","Grocery & Gourmet Food","770","Snack Food Gifts","2","","","3","2","FBA","$80,815.70","2,606","https://www.amazon.com/dp/B0822XNNY6","https://m.media-amazon.com/images/I/91HdWG9IxvL._AC_UL320_.jpg","false","false","1","2026-02-07T06:50:39.878Z"
"B0BR4HCPVJ","Valentines Day Gifts Movie Night Popcorn Gift Set, Valentines Day Gifts For Her Him, 10 Piece Set, 5 Gourmet Popcorn Kernels and 5 Popcorn Seasoning Flavoring, Kosher, Non-GMO Romantic Movie Night Gift Baskets Idea","$20.48","4.5","1300","","Grocery & Gourmet Food","1421","Snack Food Gifts","3","","","7","1","FBA","$111,795.61","4,629","https://www.amazon.com/dp/B0BR4HCPVJ","https://m.media-amazon.com/images/I/81tbAhxp96L._AC_UL320_.jpg","false","false","1","2026-02-07T06:50:39.881Z"
"B06XS6WNWW","Veratify - Healthy Mixed Snack Box & Snacks Gift Variety Basket - Perfect for Men, Women, Adults, Office, School, College, Work - Variety Assortment Gift Basket - (Gift Care Package 66 Count)","$48.79","4.6","7200","","Grocery & Gourmet Food","2224","Snack Food Gifts","4","","","2","8","FBA","$349,159.65","7,150","https://www.amazon.com/dp/B06XS6WNWW","https://m.media-amazon.com/images/I/91SfJqLtNuL._AC_UL320_.jpg","false","false","1","2026-02-07T06:50:39.884Z"
"B0B4X5SLKC","Pop n' Dulge Popcorn Movie Night Supplies 16 pcs Gift Set, 5 Gourmet Popcorn Kernels, 5 Seasoning Variety Packs Non-GMO Kosher Snacks, Great Housewarming Family Date Night Gifts Basket Ideas For Him Her","$21.95","4.5","3900","","Grocery & Gourmet Food","4293","Snack Food Gifts","7","","","1","2","FBA","$161,343.76","7,015","https://www.amazon.com/dp/B0B4X5SLKC","https://m.media-amazon.com/images/I/81ZCAoimEAL._AC_UL320_.jpg","false","false","1","2026-02-07T06:50:39.886Z"
"B0GCPLBHXH","Valentine's Snacks Care Package Gift Box - Snack Box Gift Basket - Large Variety Snacks, Candy & Treats for College Students, Adults, Kids - 45 Count","$24.99","4.4","132","","Grocery & Gourmet Food","3276","Snack Food Gifts","5","","","3","1","FBA","$27,929.58","1,238","https://www.amazon.com/dp/B0GCPLBHXH","https://m.media-amazon.com/images/I/91pO1zqrEXL._AC_UL320_.jpg","false","false","1","2026-02-07T06:50:39.889Z"
"B0FYRJ1P9N","Feastables Beast Games Season 2 Bundle, Mrbeast Snacks Variety Pack With Chocolate Bars and Cups, Protein Milk, Hydration Drink, and Beef Jerky, Gift Basket for Adults and Kids, 10 Count Snack Box","$19.99","4.5","88","","Grocery & Gourmet Food","4579","Snack Food Gifts","8","","","1","2","AMZ","$63,631.26","3,183","https://www.amazon.com/dp/B0FYRJ1P9N","https://m.media-amazon.com/images/I/71y3HajBCEL._AC_UL320_.jpg","false","false","1","2026-02-07T06:50:39.892Z"
"B0FGQSTXBK","Snack Box Care Package Gift Box - Large Variety Snack, Candy & Treats for College Students, Adults, Kids, and Office Treats - 60 Count","$36.94","4.0","417","","Grocery & Gourmet Food","4259","Snack Food Gifts","6","","","3","4","FBA","$193,271.98","5,678","https://www.amazon.com/dp/B0FGQSTXBK","https://m.media-amazon.com/images/I/917Q6Rk1XjL._AC_UL320_.jpg","false","false","1","2026-02-07T06:50:39.896Z"
"B00FBGKCHE","Broadway Basketeers Gourmet Valentines Gift Basket for Women, Men, Families, Teacher, College, Appreciation, Thank You, Birthday, Corporate, Get Well, Sympathy Chocolate Baskets","$38.11","4.5","3300","","Grocery & Gourmet Food","5471","Snack Food Gifts","10","","","1","3","AMZ","$219,837.79","5,174","https://www.amazon.com/dp/B00FBGKCHE","https://m.media-amazon.com/images/I/91lWAVZ1QJL._AC_UL320_.jpg","false","false","1","2026-02-07T06:50:39.899Z"
"B08XXXXTYZ","Ultimate Healthy Care Package (30 Count) - Bars & Nuts Variety- Gift Box Bundle Present - Kids, Adults, Boys, Girls, College Student,","$29.99","4.6","1400","","Grocery & Gourmet Food","5949","Snack Food Gifts","11","","","1","1","FBA","$94,686.37","2,990","https://www.amazon.com/dp/B08XXXXTYZ","https://m.media-amazon.com/images/I/91b0AkGW+mL._AC_UL320_.jpg","false","false","1","2026-02-07T06:50:39.902Z"
"B07JGZ3J7R","Healthy snack Care Package (30 count) A Gift crave Snack Box with a Variety of Healthy Snack Choices – Great for Office, College Military, Work, Students etc.","$28.89","4.4","3800","","Grocery & Gourmet Food","4723","Snack Food Gifts","9","","","2","2","FBA","$158,215.37","4,877","https://www.amazon.com/dp/B07JGZ3J7R","https://m.media-amazon.com/images/I/91WorpxwJcL._AC_UL320_.jpg","false","false","1","2026-02-07T06:50:39.906Z"
"B0BGRPQVMJ","The Swiss Colony 27 Favorites Food Gift Set, Summer Sausage Meats and Cheeses, Assorted Chocolates, Candies, Petits Fours, Cheese & Charcuterie Board Gifts Basket, Holiday, Christmas - Holiday Red Box","$44.99","4.5","11400","","Grocery & Gourmet Food","6907","Snack Food Gifts","21","","","20","1","MERCH","$375,117.88","7,024","https://www.amazon.com/dp/B0BGRPQVMJ","https://m.media-amazon.com/images/I/81HpRQqnxdL._AC_UL320_.jpg","false","false","1","2026-02-07T06:50:39.912Z"
"B00BY78O7Y","Wine Country Gift Baskets The Bon Appetit Gourmet Gift Basket Gift for Families College Students Appreciation Thank You Congratulations Get Well Soon Care Package","$42.83","4.2","2000","","Grocery & Gourmet Food","9372","Snack Food Gifts","16","","","1","2","AMZ","$214,124.20","5,343","https://www.amazon.com/dp/B00BY78O7Y","https://m.media-amazon.com/images/I/81SgSyigt0L._AC_UL320_.jpg","false","false","1","2026-02-07T06:50:39.916Z"
"B07PSKGDQP","Snack Box Variety Pack (40 Count) - Valentines Snacks Variety Pack for Adults, Kids & Teens with Chips, Cookies & Bars - Valentines Care Package College, Office Treats, Travel & Birthdays","$26.99","4.1","4800","","Grocery & Gourmet Food","9410","Snack Food Gifts","17","","","2","5","FBA","$81,739.98","3,504","https://www.amazon.com/dp/B07PSKGDQP","https://m.media-amazon.com/images/I/91LytgxgQpL._AC_UL320_.jpg","false","false","1","2026-02-07T06:50:39.920Z"
